,report_id,store_id,uptime_last_hour,downtime_last_hour,uptime_last_day,downtime_last_day,uptime_last_week,downtime_last_week
2450,46,2559580847941971880,60,0,23,0,76,0
2451,46,2559685299892422826,60,0,12,0,94,0
2452,46,2561409437357836343,0,60,0,23,0,161
2453,46,2561735615977369498,60,0,14,0,101,0
2454,46,2561810480525248797,60,0,23,0,161,0
2455,46,2561989967770018940,,,12,0,89,0
2456,46,2562578401710340904,,,12,0,84,0
2457,46,2564694238927759462,0,60,0,23,0,161
2458,46,2565917333352663244,60,0,23,0,154,0
2459,46,2566938095680813288,60,0,23,0,71,0
2460,46,2567728765809290933,,,5,0,30,0
2461,46,2568288842800489906,,,13,0,91,0
2462,46,2568525687270995363,60,0,23,0,161,0
2463,46,2569354530863633310,,,3,0,21,0
2464,46,257009155878804554,60,0,12,0,84,0
2465,46,2570503046636429378,60,0,23,0,161,0
2466,46,2570905277901393,30,30,6,17,129,32
2467,46,2571201119321632774,,,8,4,78,6
2468,46,2571476781076473087,,,0,0,16,19
2469,46,2572825156232404347,,,0,0,0,0
2470,46,257406274356679,60,0,23,0,161,0
2471,46,2574595088387225673,,,12,0,79,0
2472,46,2575199723503992910,,,0,4,2,16
2473,46,2575294187163078071,60,0,13,0,91,0
2474,46,2576054371072208380,,,8,3,49,12
2475,46,2576229098080357764,,,10,0,70,0
2476,46,2576384357858177509,60,0,23,0,161,0
2477,46,2577455701502992591,60,0,23,0,128,33
2478,46,2577578327706966145,,,11,0,77,0
2479,46,2578577599122607800,,,4,0,47,0
2480,46,2579700216834147511,60,0,23,0,161,0
2481,46,2579857056996729604,,,14,0,82,8
2482,46,2580432868353891756,,,9,0,68,2
2483,46,2580844124650066974,,,8,0,52,0
2484,46,2580951030717108444,0,60,0,23,0,161
2485,46,2581306311641061569,0,60,0,23,0,53
2486,46,2582189222044797824,60,0,23,0,161,0
2487,46,2582357887251886091,,,0,12,0,84
2488,46,2582588152130507751,0,60,0,10,5,78
2489,46,2582708219038444833,,,4,0,35,0
2490,46,2583031483871617877,0,60,0,23,0,161
2491,46,2583143055026783161,60,0,23,0,160,1
2492,46,2584654880871327108,,,12,0,84,0
2493,46,2586280666587313237,,,9,0,56,6
2494,46,2588334495218220560,60,0,10,0,85,0
2495,46,2588521529064065319,0,60,0,23,0,161
2496,46,2589996575633997892,60,0,23,0,161,0
